961 994
341 861 -644
11 390 628
719 571 598
102 691 272
14 510 747
787 742 -680
324 245 53
369 608 363
288 309 -346
743 924 273
459 251 -678
799 560 -314
1 15 451
435 775 754
482 491 503
677 505 71
833 494 773
321 913 161
763 246 -680
622 521 -710
124 142 106
85 262 851
662 216 -846
833 788 672
781 637 -343
657 315 -823
502 465 162
115 54 -129
544 570 390
863 360 -880
774 906 -781
612 663 858
102 327 -225
459 512 734
191 506 218
945 239 305
324 606 -304
82 637 -964
357 240 -827
956 310 -346
3 36 350
242 304 -459
268 641 -575
814 795 -564
14 866 148
304 818 -501
26 443 -347
330 497 -776
769 273 218
73 663 -615
633 31 517
937 234 163
187 947 -662
117 771 41
256 800 -641
513 907 496
457 685 -10
569 649 755
95 872 333
451 192 -450
907 291 -474
182 518 -701
8 131 -873
512 15 500
721 424 978
560 547 671
25 878 720
907 444 -521
702 570 552
289 956 -378
111 113 88
630 918 217
326 772 173
897 88 -491
28 49 194
364 71 111
664 474 -619
906 281 -524
434 407 -391
947 414 -415
703 816 -599
260 597 -101
41 957 836
459 567 109
504 590 930
100 11 -211
13 286 646
293 671 360
851 264 -843
61 220 633
287 128 278
709 264 649
318 258 -943
782 40 -932
124 327 -978
492 62 -582
636 289 556
96 244 492
490 804 -876
269 301 194
728 247 -86
574 878 968
503 103 -131
502 583 -217
856 354 -533
892 654 -268
608 518 -54
163 712 546
515 456 -311
659 727 462
888 721 491
72 451 -315
700 62 -417
790 377 -447
879 261 -94
156 905 444
171 366 -48
305 196 309
707 621 572
412 293 381
686 346 283
691 230 -155
314 683 -906
744 463 -913
782 800 -86
417 39 38
109 42 304
570 203 -55
131 857 917
391 943 305
203 925 -765
164 396 572
650 828 -53
240 610 -141
406 140 368
581 246 588
731 645 305
428 280 -334
719 187 377
506 125 -877
27 585 232
413 149 -659
144 954 294
708 540 626
203 224 -798
633 635 -506
819 546 -963
660 80 69
514 176 622
643 807 885
14 787 661
655 869 -939
83 900 -302
51 237 781
933 156 -674
452 505 -697
488 543 -375
641 900 -720
830 390 -65
75 28 -788
225 37 -266
449 118 17
96 580 327
917 168 -933
656 486 -575
201 388 -580
821 874 -394
151 174 634
951 456 98
626 89 -602
27 420 370
347 795 -540
586 319 990
136 236 -796
592 161 955
375 895 -612
838 533 738
758 243 -465
98 2 206
51 563 162
785 895 -215
842 827 -885
10 237 -412
217 222 -321
482 672 530
564 901 566
310 722 -561
496 374 877
172 676 -480
491 927 -885
446 619 -508
735 362 575
710 419 -128
304 557 713
138 577 391
542 250 -777
251 39 970
169 273 436
374 164 492
217 520 -867
734 19 -946
364 731 679
593 124 -363
117 841 811
243 179 364
558 89 -946
91 761 -275
585 377 688
677 710 823
779 854 784
514 838 -750
279 18 303
177 616 346
595 869 -676
135 507 -868
546 342 -269
465 331 -259
442 58 306
197 960 -938
838 872 78
650 267 -147
943 781 961
45 219 -352
181 323 325
574 271 737
768 335 -430
881 62 -442
208 38 420
4 129 -758
913 197 -975
526 432 786
751 528 538
560 868 886
955 481 -932
861 32 148
777 139 -440
807 677 57
145 769 147
881 872 -77
923 464 640
717 854 763
666 588 22
102 673 -530
562 109 95
332 588 159
272 573 -678
248 40 -188
329 77 583
315 626 331
181 757 572
830 883 -338
553 740 380
322 750 -569
872 619 85
112 950 523
925 636 -794
622 837 301
333 803 441
603 940 -940
35 55 -325
769 708 603
938 258 265
331 657 -567
134 493 -137
411 195 63
500 97 447
231 184 960
923 642 -399
707 178 -943
900 118 -138
415 877 -853
892 599 263
329 688 617
683 650 139
684 436 471
594 583 -922
376 263 -830
143 453 -260
494 516 -289
521 238 -942
347 610 92
535 279 464
328 490 555
445 35 -542
235 503 333
277 106 802
471 57 -110
898 807 -12
372 898 868
352 542 897
255 724 -355
338 956 -381
163 511 282
180 493 182
23 372 276
493 214 727
493 319 151
276 709 -293
777 595 233
418 813 992
43 383 474
95 659 -213
647 32 761
494 216 692
500 133 -285
859 767 823
257 155 -599
91 754 -825
454 410 491
205 430 50
429 12 -936
851 733 203
676 737 -813
644 396 585
700 366 -947
780 154 324
910 677 -274
343 626 296
521 695 -242
568 378 683
819 650 963
897 257 -441
308 502 -332
218 770 -769
894 217 -583
568 739 -568
363 956 -889
396 57 -606
125 712 -453
285 263 691
892 670 -757
841 437 624
631 846 -895
591 28 -990
483 470 87
71 405 -369
804 498 -966
668 489 937
871 257 991
687 673 -106
91 745 133
953 590 -481
347 223 749
510 732 130
371 399 80
312 759 -11
707 196 -635
118 217 218
135 662 181
387 33 -428
293 199 -995
483 459 -594
436 305 167
717 599 703
296 89 437
907 937 763
617 797 883
257 714 -847
360 912 695
889 251 -408
596 214 -878
508 574 -29
97 627 755
340 762 605
172 146 -728
818 948 -235
699 9 -628
249 938 553
591 726 669
720 780 -651
33 251 18
392 775 349
