16
848 1619
368 401 379
442 377 95
577 307 240
325 362 930
843 669 527
454 482 825
418 630 825
7 635 102
505 57 35
560 773 913
95 305 721
485 778 608
192 64 897
398 605 651
745 16 925
415 723 947
170 114 710
767 173 687
76 658 322
93 569 737
422 355 564
588 288 726
353 525 158
360 27 970
586 371 71
231 715 862
125 240 331
614 325 242
303 657 86
464 113 366
630 445 907
751 452 112
40 620 769
837 76 779
268 375 593
140 442 850
248 640 739
738 764 108
620 63 402
60 236 769
44 839 107
230 830 536
162 335 201
731 192 232
11 171 936
680 788 839
82 234 548
398 403 707
22 703 542
108 752 74
429 375 695
797 221 415
168 312 623
107 42 444
341 90 671
529 79 86
434 216 317
404 32 766
405 147 106
713 648 797
647 523 964
331 314 326
298 665 128
363 215 862
678 336 994
750 509 107
42 635 768
469 10 631
518 228 591
359 535 155
237 200 706
98 4 834
127 405 152
284 516 377
615 565 982
81 2 746
432 623 950
22 173 899
348 477 995
32 746 953
332 311 501
290 429 236
828 85 157
512 384 251
423 258 959
138 684 50
121 679 33
562 626 707
361 122 446
593 245 374
702 315 966
751 847 885
281 292 653
97 808 792
664 186 436
589 687 509
76 392 292
587 314 606
401 404 324
495 380 567
743 304 426
96 503 387
810 187 645
560 84 837
513 437 814
723 542 49
539 715 487
241 717 951
70 460 395
216 275 871
500 244 427
1 652 463
517 570 834
333 194 97
673 385 238
158 590 391
221 238 641
758 26 375
160 583 423
74 349 339
349 368 253
481 331 261
782 814 186
331 579 369
455 748 559
404 22 95
520 609 685
118 650 518
562 372 28
817 489 796
187 783 486
99 722 566
8 488 775
553 50 775
697 474 153
320 5 202
642 195 231
300 134 398
281 92 515
584 331 907
845 838 656
7 348 745
158 682 729
618 178 390
481 401 741
45 765 427
71 35 694
691 249 821
432 450 117
292 749 951
329 459 313
565 406 723
35 479 902
756 161 415
246 737 701
237 285 868
54 304 952
160 59 569
411 300 273
162 562 225
147 619 881
601 800 290
10 799 60
504 583 351
663 351 171
667 700 889
585 540 490
298 724 90
16 836 199
797 499 38
533 650 466
687 465 851
449 523 652
835 145 295
626 32 155
110 573 515
641 427 463
724 743 796
205 96 157
359 147 311
241 383 401
375 836 820
266 614 800
162 504 968
732 627 538
460 785 236
324 237 157
182 453 668
704 108 451
192 836 922
122 548 190
495 387 722
484 705 753
185 821 754
51 841 203
568 150 625
222 73 851
464 303 659
209 237 136
257 528 536
197 267 247
590 841 42
389 634 287
747 744 850
194 37 64
644 310 101
773 498 602
764 82 241
353 533 984
810 29 814
479 233 201
525 161 915
150 639 689
221 841 548
220 671 426
305 545 306
663 51 12
693 625 701
703 523 514
272 659 733
752 495 997
613 78 658
701 374 832
613 583 768
317 268 905
198 278 391
91 748 580
626 721 314
467 225 742
727 380 672
635 171 72
831 783 165
382 338 524
536 295 400
281 390 431
298 13 440
634 369 847
127 350 827
803 756 863
764 749 685
365 815 875
275 610 94
572 687 92
509 575 235
767 704 721
565 790 226
789 522 69
5 555 763
616 135 778
142 291 28
59 294 613
343 54 413
846 724 832
547 7 569
656 495 364
387 514 986
688 695 618
784 389 917
205 436 601
827 225 129
582 61 941
705 609 947
140 671 650
73 432 399
569 36 331
701 598 68
614 154 267
193 587 97
761 206 591
329 807 610
404 186 194
537 323 955
135 631 958
671 118 538
287 462 99
268 231 900
258 206 439
405 287 703
400 46 849
182 351 333
401 286 933
467 458 307
848 734 98
81 764 252
121 642 141
371 431 229
65 32 640
42 818 795
77 605 462
408 437 215
839 757 105
19 414 649
108 149 715
789 764 444
747 584 846
229 245 930
301 86 953
281 411 808
162 413 82
425 811 227
838 170 991
402 152 866
234 785 965
531 65 18
335 480 109
348 229 553
742 198 390
367 212 430
217 511 270
636 711 230
732 419 301
247 426 868
184 472 567
415 618 944
83 496 250
105 581 414
403 803 122
12 354 509
340 622 158
623 573 950
238 201 914
311 627 292
328 22 208
400 357 390
260 184 463
16 228 359
375 537 729
775 541 7
511 382 460
134 599 540
102 646 624
334 495 949
552 86 610
810 750 98
468 325 598
746 517 531
546 602 135
25 333 732
47 198 175
405 152 890
346 557 899
194 442 236
417 127 616
300 70 377
99 634 562
198 621 246
785 180 727
273 221 149
387 779 751
501 135 274
502 397 222
835 406 685
308 781 612
658 205 67
226 101 906
193 588 204
112 758 688
241 620 945
3 579 687
582 340 760
673 84 726
635 705 963
316 360 643
757 842 73
436 835 698
599 323 633
750 758 145
184 629 362
357 750 131
540 476 513
397 253 178
664 719 680
251 421 848
1 793 784
116 54 86
686 522 356
422 624 22
818 562 797
509 132 669
365 661 716
426 233 51
492 553 798
790 637 829
765 387 233
259 157 158
182 801 134
606 484 118
832 769 468
789 9 116
662 470 929
585 317 134
803 511 251
166 583 221
463 214 947
223 415 267
763 187 182
52 572 361
733 780 878
86 130 612
96 391 244
302 708 983
10 774 83
794 266 376
172 140 997
839 6 693
763 613 77
378 102 578
628 23 601
492 56 633
454 818 111
332 241 979
559 645 781
473 724 127
822 593 688
740 62 264
559 162 164
817 680 245
363 687 928
488 73 258
463 124 974
300 725 869
512 719 994
380 577 887
194 228 27
14 675 409
519 805 176
766 573 145
103 278 50
338 680 503
552 532 890
217 190 940
728 716 490
771 513 309
164 431 979
1 379 864
317 553 971
203 492 414
238 764 188
620 127 717
291 502 274
511 176 528
479 739 111
467 9 387
114 35 729
306 427 780
838 625 812
620 179 666
682 578 902
494 386 156
