854 2520
334 199 285
537 806 257
210 270 233
506 55 146
361 643 671
409 297 62
253 67 839
680 452 322
592 70 85
190 305 591
155 115 221
85 764 127
730 413 653
502 595 171
591 440 407
412 350 737
505 769 306
340 204 107
28 852 916
166 164 943
425 171 286
59 275 921
127 650 905
48 473 389
111 85 723
313 702 150
794 470 942
440 515 333
528 379 361
664 745 335
804 513 874
826 710 369
303 457 902
70 480 994
579 191 941
703 402 113
2 774 781
399 544 453
492 555 569
606 170 913
137 653 310
610 786 805
663 660 589
324 241 135
722 304 924
383 173 154
802 708 338
685 52 376
731 10 717
401 214 397
341 826 641
90 405 390
683 239 734
578 418 319
835 646 574
840 114 510
68 139 90
107 18 248
319 543 629
702 112 402
545 501 86
700 44 317
758 461 881
361 593 13
443 221 473
587 150 559
68 289 908
308 107 641
29 264 808
727 188 536
383 534 934
738 797 910
444 380 325
554 267 723
130 613 981
665 135 192
528 765 492
640 132 788
694 353 910
18 775 849
472 182 40
79 317 39
427 516 17
310 830 780
406 689 652
814 272 284
360 498 850
816 379 491
113 24 615
590 519 631
121 420 30
37 276 881
586 349 65
86 349 623
99 4 676
739 711 555
699 41 77
42 519 423
686 530 803
143 357 89
560 782 833
823 265 459
41 461 674
614 737 670
117 573 496
437 604 479
557 377 182
499 373 818
170 298 771
18 290 496
196 230 819
217 831 962
791 682 225
117 312 605
357 718 482
699 513 207
123 643 886
796 111 313
286 44 788
283 253 310
661 80 793
810 46 679
507 443 239
687 251 488
630 285 521
490 492 541
663 576 862
518 326 44
607 415 341
98 817 621
217 303 659
270 136 733
246 477 61
378 156 443
408 582 60
777 669 413
247 379 466
48 551 794
751 659 249
479 364 802
580 241 283
749 109 167
87 298 610
718 114 122
686 261 303
506 707 952
410 138 723
157 315 764
308 188 585
286 343 840
770 419 726
650 418 283
143 691 285
636 405 303
52 747 231
79 327 568
398 603 776
698 433 81
211 577 202
9 59 57
259 46 300
395 471 168
450 67 746
100 308 898
561 419 291
654 826 597
830 93 358
253 838 420
296 767 685
55 505 926
128 643 248
607 816 600
123 34 491
453 489 914
759 655 138
332 688 73
397 339 385
574 685 544
773 349 673
119 383 600
794 781 996
514 148 618
179 567 300
538 51 270
66 412 832
455 269 953
15 120 49
300 701 73
95 183 847
618 284 858
671 707 87
158 305 635
694 829 264
560 142 672
443 523 503
63 24 385
377 133 50
406 314 129
212 578 985
515 789 689
73 429 681
585 729 825
566 331 399
153 375 400
679 808 421
183 816 49
348 173 539
755 499 212
477 166 578
630 801 44
767 325 420
245 168 830
200 495 25
620 127 435
578 271 632
307 135 805
617 713 727
660 253 765
628 234 332
24 219 519
181 641 156
321 318 772
378 186 421
524 502 630
542 711 528
116 832 138
646 556 294
241 747 526
479 320 959
561 576 490
550 396 939
471 507 86
635 529 525
637 763 123
571 206 793
607 661 498
103 672 270
375 320 453
391 346 419
80 602 626
589 736 479
422 489 637
730 214 626
343 761 49
639 619 775
735 230 770
650 596 379
501 256 429
819 308 6
678 845 220
601 278 117
691 36 939
514 542 594
382 384 250
537 725 906
415 59 622
33 36 916
519 612 462
447 617 543
329 482 194
836 98 649
733 250 373
729 322 480
20 255 977
673 665 335
52 507 267
786 583 967
261 211 949
544 561 405
457 109 554
834 609 591
848 264 204
695 620 800
338 806 139
350 649 393
13 848 86
826 348 973
706 153 541
511 298 295
231 691 202
604 31 716
650 77 910
173 613 872
133 214 379
713 466 73
445 309 439
437 137 268
700 163 321
97 202 294
77 307 159
144 251 713
364 731 159
303 266 958
419 426 396
429 163 385
432 398 708
784 516 388
457 194 136
215 238 400
221 329 779
395 794 113
754 776 479
399 303 264
63 495 794
36 682 667
144 384 227
58 228 895
626 689 397
792 676 71
755 10 483
230 413 153
59 115 311
254 472 437
17 326 869
454 678 698
306 387 79
552 492 697
1 102 82
201 423 543
301 114 467
19 669 173
432 700 583
14 269 455
787 612 580
693 806 303
370 441 638
835 14 906
200 367 540
187 535 813
768 640 114
657 583 887
799 408 893
487 155 790
284 714 691
363 347 137
105 465 502
782 643 380
421 348 896
592 792 190
265 446 807
622 367 306
683 682 455
597 476 928
533 613 908
458 83 941
666 355 522
502 852 856
794 121 734
501 221 128
313 181 414
204 105 287
40 330 770
344 526 175
662 392 56
630 804 108
159 228 424
205 117 660
200 285 555
400 355 132
202 171 701
697 804 284
300 450 163
11 123 23
125 41 439
213 364 893
526 793 854
658 155 728
837 608 363
577 552 553
361 318 533
825 702 30
528 106 438
550 756 696
349 147 568
431 813 605
717 219 92
697 25 683
35 267 855
72 382 424
501 564 89
244 689 493
214 622 605
323 336 44
314 647 315
295 177 354
502 25 823
173 162 736
650 573 715
7 769 505
846 457 365
173 229 775
33 151 797
371 796 537
114 236 956
412 170 769
277 693 522
2 609 14
477 757 791
240 566 939
193 115 234
798 686 441
510 108 45
92 580 899
768 333 997
374 54 83
325 107 429
354 156 565
690 391 612
565 652 345
442 322 514
127 130 78
73 805 346
514 603 178
286 144 316
302 515 372
652 484 142
306 302 799
812 517 859
31 378 155
189 197 801
491 755 994
56 148 563
355 114 460
745 244 26
56 596 864
467 443 728
65 465 865
647 451 36
536 104 56
832 761 453
803 375 969
277 580 257
438 708 828
193 637 349
515 470 125
321 466 458
36 267 439
166 163 530
341 212 797
422 27 902
143 79 137
461 378 739
676 731 443
181 521 151
211 609 969
426 721 206
403 119 59
834 831 524
605 772 249
709 95 737
685 646 428
145 5 214
723 441 834
95 479 266
45 708 44
494 44 666
545 523 721
327 789 939
619 749 725
430 159 695
606 430 636
90 632 458
342 548 1000
539 560 601
735 828 981
740 852 541
125 606 78
483 155 792
527 232 439
780 843 868
640 6 621
494 72 486
709 712 571
131 219 109
350 347 679
826 159 194
787 747 438
664 523 284
333 531 249
566 548 500
28 194 524
71 458 764
382 206 767
323 488 617
418 786 356
36 787 784
566 423 449
202 659 193
244 776 247
678 282 253
658 790 926
454 727 828
295 225 357
746 851 327
3 94 180
686 83 806
199 474 893
374 397 857
772 272 2
699 303 78
302 429 596
72 688 23
533 595 236
544 459 290
320 670 91
673 609 757
405 529 863
206 205 40
417 44 254
791 324 391
365 483 98
751 804 816
417 438 443
352 731 812
59 319 29
113 194 359
685 249 467
312 348 735
597 225 928
166 31 545
719 830 646
523 380 631
790 135 966
415 356 127
286 431 58
254 682 167
836 273 689
774 644 81
10 312 398
288 716 395
747 310 805
348 346 46
110 512 182
605 113 412
43 803 950
402 748 346
250 757 519
577 43 548
28 22 567
343 80 933
824 703 526
242 730 296
521 304 475
75 47 306
655 420 771
602 652 465
91 55 57
771 614 915
85 543 47
572 466 315
839 133 803
116 485 61
816 150 975
781 76 126
157 480 84
747 60 844
826 274 773
351 167 991
788 555 556
412 427 275
223 304 71
190 268 652
525 180 216
317 296 967
380 741 366
459 516 552
601 422 605
820 194 443
158 627 18
619 833 924
728 355 239
706 778 664
517 842 331
159 57 206
500 687 150
727 80 193
277 381 205
848 29 733
634 45 154
363 359 355
350 822 962
31 763 470
358 706 608
85 776 242
576 602 969
497 75 873
432 465 956
177 718 5
264 296 188
54 367 800
736 470 436
667 674 484
522 678 170
491 312 147
108 533 554
330 25 759
362 759 734
483 375 820
397 496 326
240 122 478
333 4 460
144 388 355
340 291 83
219 649 470
180 302 538
259 101 142
717 778 196
810 449 364
30 704 878
455 710 990
133 98 413
287 814 154
771 571 272
723 166 889
515 337 500
269 623 653
334 337 789
351 169 549
586 12 885
489 650 699
463 442 374
566 563 334
4 418 881
818 575 475
60 200 778
362 787 964
535 672 379
269 243 69
120 799 255
411 429 549
573 493 188
619 574 493
395 366 879
235 774 633
372 467 579
275 313 116
610 669 904
512 457 872
641 200 582
668 442 174
575 399 230
541 214 719
45 641 371
446 788 320
19 539 874
489 371 715
164 763 611
358 843 297
447 639 215
469 116 192
326 317 899
62 718 455
392 413 301
449 150 993
502 507 306
40 107 971
436 209 700
380 567 972
477 238 877
30 343 127
738 424 524
36 414 425
639 573 368
228 485 917
275 599 41
662 260 766
446 156 277
143 406 85
608 212 74
267 571 812
336 679 595
87 159 963
418 458 643
700 169 490
446 88 541
371 51 232
840 33 759
453 720 133
826 398 501
761 234 904
348 131 729
531 337 933
744 774 454
341 459 589
473 461 143
39 146 201
281 828 420
197 105 944
644 210 961
141 426 975
834 255 519
339 395 871
170 310 538
159 685 862
