20
835 957
166 595 -966
196 164 -739
75 93 -893
30 295 168
179 462 -881
213 304 981
532 177 -270
694 649 315
432 221 -957
552 149 -395
218 81 -916
711 234 711
110 721 749
272 660 -829
179 711 545
358 812 528
333 225 -684
602 202 75
626 426 804
151 570 490
36 344 737
245 288 48
469 314 -472
818 169 -396
612 408 -706
793 369 50
793 6 122
520 508 262
4 355 82
417 572 -572
88 78 -742
329 505 711
209 618 712
143 531 -863
577 453 358
519 407 -597
751 624 -851
75 524 -557
146 121 -956
580 708 -121
554 569 739
565 175 579
835 391 -16
566 523 -782
529 116 270
215 739 -413
685 629 -157
767 643 436
489 83 -596
802 771 -854
571 279 -791
282 148 936
609 659 -560
492 689 -330
697 614 213
629 462 887
452 393 -911
730 650 0
285 74 -790
541 496 813
381 403 730
737 425 -196
224 548 -869
479 307 610
91 293 -299
435 103 -856
156 278 520
513 363 -635
17 308 517
17 668 557
563 396 301
827 612 -852
242 31 659
585 608 120
302 349 358
59 174 470
609 178 307
556 471 829
194 305 -768
704 210 760
535 256 502
191 275 205
692 268 344
783 647 921
210 58 -296
415 661 -353
357 608 703
821 526 514
829 63 -527
449 502 -801
777 195 553
14 819 -560
376 818 751
132 106 -687
819 571 72
482 730 489
440 155 -911
669 182 821
555 809 -630
703 787 914
746 355 442
704 459 71
659 764 -899
385 750 124
366 581 -524
397 521 -344
596 827 -22
180 203 -404
777 146 -583
376 434 -113
602 478 603
672 315 51
711 129 -508
447 709 93
143 44 -351
761 327 230
444 665 361
795 268 432
634 83 -73
616 189 214
109 106 479
184 150 856
631 309 108
795 139 705
501 815 389
172 720 -78
43 531 -701
199 562 -35
320 425 276
205 232 -899
529 543 -328
716 828 764
42 287 -174
468 485 -860
793 344 47
491 335 -217
327 484 241
594 188 961
277 559 66
259 278 716
468 359 579
354 161 -531
619 265 9
301 423 778
438 18 -86
294 254 -479
114 510 684
796 233 -11
754 521 460
768 615 415
117 361 230
358 451 46
473 641 -916
80 808 907
223 659 542
236 681 -394
530 739 668
550 368 510
439 390 -586
114 822 465
191 498 -290
346 808 715
822 6 -768
351 23 -72
141 551 -473
484 713 24
397 800 -206
714 94 -668
640 167 -76
112 190 -707
73 608 -825
815 348 -392
123 363 -135
426 800 -996
461 623 -561
309 738 -766
335 225 862
504 654 344
812 523 -422
574 410 -700
77 272 -97
348 201 353
465 813 830
265 238 330
411 594 -179
770 89 -4
605 460 -65
656 728 -195
475 27 -380
796 359 624
744 217 25
702 617 -393
734 652 -876
401 777 -481
739 437 198
803 613 -209
290 476 962
239 224 -852
728 404 -846
810 148 -426
633 714 245
259 517 824
389 25 -977
803 195 -984
761 702 748
768 556 355
226 735 -845
198 646 932
663 116 398
465 158 -759
672 514 460
271 528 166
62 97 400
529 237 -267
171 80 31
616 63 -992
51 35 -579
32 342 -187
531 345 170
