9244 28923
438 7596 389
2681 8653 -495
3056 6407 -707
5625 2688 -552
4133 2631 -986
1501 7768 582
1991 3183 -985
9093 373 -576
8018 6078 356
993 94 -928
2154 8968 170
7769 5895 -238
8681 3207 795
7238 6123 244
8624 8187 299
4536 5494 -698
1835 5963 -678
4098 4707 896
5050 8291 -619
2874 8631 -524
3149 4209 -184
8577 5278 -377
2435 7611 221
4069 4674 -370
6930 6974 691
5401 4292 750
7254 2187 -924
9123 3273 -384
4323 4474 -750
7619 1894 432
6435 3113 -326
540 2272 -984
1733 5333 635
1244 1146 -163
9164 1533 603
8463 8845 -247
5427 6922 651
5806 8275 829
2912 2750 624
3618 5048 340
1095 2299 -57
4138 6549 -584
6021 4365 253
8312 4143 342
3941 3598 183
464 4445 -300
2235 5491 -435
2756 5286 -824
5135 1492 768
8833 1213 561
8837 3187 -54
8811 7617 210
6212 3268 576
5282 5406 658
5342 7431 0
8712 338 515
3479 3146 -170
7331 7093 -970
6543 2009 -412
75 3590 351
5226 7260 -15
7324 8491 224
1002 3935 874
2764 8324 646
6652 7067 -640
4803 8291 67
5220 1601 26
1610 1598 634
1867 1021 -457
5679 1479 522
9056 4895 483
910 6736 89
8532 6117 580
8709 7964 -598
2872 812 855
5600 1888 33
2801 2961 -661
5390 8959 521
9048 5986 -752
219 1647 -553
2717 6837 146
740 5496 722
402 3594 893
6464 3433 -696
736 751 217
3006 5538 -583
5840 6754 -812
5806 5969 -204
5434 8904 160
5580 4696 374
7757 7223 708
1135 3198 -155
8858 3782 -545
5152 1093 -876
4222 966 465
2114 6960 -395
1487 4043 -919
8534 560 397
743 3823 -921
7853 7490 837
7247 1136 842
2810 5498 -225
5699 7943 231
2503 2930 -565
3840 1059 427
3802 8829 679
3920 2432 16
3468 4247 859
1440 3656 32
1179 1144 436
5669 896 -865
7847 3436 560
9200 4638 -71
4548 996 622
7055 8283 100
1820 472 269
3311 5374 510
8574 5704 839
5393 823 -254
3324 5248 -191
5436 5337 -800
5434 8425 -933
6449 4441 130
367 7885 -515
918 4500 -532
5446 8054 221
1682 8199 -263
8308 121 -13
7055 6245 824
9017 6605 476
4436 4003 -263
105 3210 245
4414 1728 547
4155 8193 -30
2560 1229 -615
4961 1269 -770
4328 1134 -139
7437 3720 -16
8284 3034 -98
4827 5526 409
1922 6310 -669
3995 195 589
6764 1225 980
6290 1883 -726
5715 1017 950
6318 2904 -193
9213 9106 -343
1179 3908 320
8514 7090 -461
8643 3785 744
4831 6686 647
6690 1196 -540
2782 8524 -63
7294 7731 470
6632 8294 939
3185 1667 -517
5002 8467 923
3516 6481 430
3340 6016 -101
3894 864 550
2437 3140 -22
3075 7610 161
6838 3720 -314
6578 7585 -668
8343 230 277
6946 7681 -828
7942 7536 -792
8104 2024 -93
7620 2066 967
8752 26 101
2550 2137 602
4447 2758 658
8519 4485 118
9087 3526 -364
6620 5900 -236
4452 8887 -745
5663 4942 -490
1500 5392 -191
6323 3138 -653
3605 3484 -577
8683 1683 -668
2999 4193 -433
2203 9085 -632
6284 2499 -848
5608 2625 -496
5375 8384 -381
2989 5832 965
8047 4207 104
219 5752 384
2926 7636 -551
9025 474 106
7146 2738 -150
2882 7385 -841
8501 8231 551
6471 2157 -896
80 3513 -693
6066 2820 -581
7344 129 424
8567 1870 481
7427 3299 587
2275 3303 366
2446 8263 845
8980 132 556
1897 6537 -72
8315 6030 827
5244 3042 697
7530 6162 -892
6763 2487 539
1694 1120 -119
6488 2885 624
518 5242 998
4339 7448 322
9020 8289 161
6285 4026 536
6261 9084 105
8483 6932 139
354 9218 -183
3662 2150 712
1178 480 -286
2242 249 675
4805 2946 -745
5648 7838 671
1831 7867 -179
2361 8123 508
2550 5790 443
610 3479 650
8286 2080 -58
5114 1130 -255
1162 632 641
9229 6049 990
1655 2196 -762
7437 3270 -598
9146 6409 -671
5299 9243 860
1555 5918 -908
6509 364 733
5354 4457 -22
8842 6244 115
8873 719 -830
7454 105 164
4969 8842 916
5370 9102 -836
2464 5786 -684
8796 7985 768
388 2138 327
5471 3058 973
4325 7978 652
4956 146 -854
2950 1185 -210
9153 6074 117
6045 3910 955
5342 7941 636
6672 2907 -678
7477 2803 -224
3847 6820 -321
8930 4708 -932
1897 7791 184
456 5184 -875
4990 7905 -550
7584 3996 -550
289 6359 -230
